,scopus_id,author
166,57122797100,"Smith, M. Glenn"
167,25955456900,"Arey, Donald"
168,7201377153,"Fishbein, M."
169,57199319458,"Gordon, Jesse E."
170,55479684400,"Smith, Edward"
171,55464984300,"Nelson, Don A."
172,6603903170,"McCoy, Norma"
173,7005354452,"Zigler, Edward"
174,6603298634,"Cline, Victor B."
175,7403707048,"Richards, James M."
176,6701752146,"Manis, Melvin"
177,6602626835,"Dillehay, Ronald C."
178,25955929200,"Haber, Leonard"
179,6603721566,"IVERSON, MARVIN A."
180,7007108368,"Wyer, Robert S."
181,16489853000,"Weatherley, Donald A."
182,25957062600,"Terrell, Glenn"
183,16531098300,"Lindzey, Gardner"
184,23087931100,"Winston, Harvey D."
185,7401561001,"Roberts, Larry E."
186,25955543400,"Beckwith, Jack"
187,6506033310,"Reuder, Mary E."
188,6507887486,"Kobasigawa, Akira"
189,7402524259,"Anderson, Norman H."
190,25953455200,"Sears, Robert R."
191,6602686279,"Pervin, Lawrence A."
192,25957439300,"Yatko, Raymond J."
193,24600081800,"Katz, Irwin"
194,55449041900,"Roberts, S. Oliver"
195,56289966700,"Robinson, James M."
196,25955912400,"Hicks, David J."
197,24551315600,"Lambert, Wallace E."
198,6603100495,"Anisfeld, Moshe"
199,6603780380,"Yeni-Komshian, Grace"
200,25955398700,"Clapp, William F."
201,6505490769,"Husek, T. R."
202,6505764856,"Upshaw, Harry S."
203,25954422600,"Mussen, Paul H."
204,25956680300,"Parker, Ann L."
205,7003665284,"Foulkes, David"
206,6603846013,"Foulkes, Susan Heaxt"
207,6507347163,"Weksel, William"
208,36886139700,"Hennes, James D."
209,22939877900,"Arrowood, A. John"
210,7004124407,"Amoroso, Donald M."
211,35458074000,"Turner, Elizabeth Ann"
212,25953560700,"Wright, John C."
213,7102895214,"Forrest, Derek"
214,7201605885,"Gordon, Nicola"
215,55473546100,"Taylor, Ann"
216,25955612500,"Dorwart, William"
217,25956029500,"Ezerman, Robert"
218,7404189183,"Lewis, Michael"
219,6602127408,"Rosenhan, D. L."
220,7102740660,"Doerr, Hans O."
221,57196508849,"Platz, Arthur"
222,6603715092,"Honigfeld, Gilbert"
223,7005630181,"Leventhal, Howard"
224,25956869700,"Singer, Robert D."
225,56319011700,"Jones, Susan"
226,7005604995,"Sampson, Edward E."
227,25957265200,"Sibley, Linda B."
228,57198305838,"Stachowiak, James G."
229,57197637558,"Moss, C. Scott"
230,6603336532,"McDavid, John W."
231,7102378383,"Goodenough, Donald R."
232,7201755691,"Lewis, Helen B."
233,7403333060,"Shapiro, Arthur"
234,25956038400,"Jaret, Leroy"
235,6505594601,"Sleser, Irving"
236,56330382400,"White, Jack"
237,6602868090,"Alter, Richard D."
238,6508074548,"Rardin, Max"
239,7103360191,"Wild, Cynthia"
240,6603424996,"Gollob, Harry F."
241,14423360800,"Dittes, James E."
242,7005484176,"Hetherington, E. Mavis"
243,6602479842,"Ryack, Bernard L."
244,15052713900,"WARD, CHARLES D."
245,6701504796,"Schopler, John"
246,35281642100,"Bateson, Nicholas"
247,56307620800,"Tanaka, Yasumasa"
248,7006610585,"Osgood, Charles E."
249,7003305440,"Streufert, Siegfried"
250,57203176904,"Baron, Reuben M."
251,24575915500,"Watts, William A."
252,7005658712,"Bruning, James L."
253,6701853697,"Fishbein, Harold D."
254,55727367200,"Smith, Robert S."
255,7402654916,"Sanders, Richard"
256,25956838400,"Smith, Aaron"
257,16533260700,"Weinman, Bernard"
258,7102028136,"Marston, Albert R."
259,7102606172,"BRUNER, J. S."
260,6506178848,"Tajfel, Henri"
261,35385735100,"Wolf, Abraham"
262,57196992885,"Weiss, Jonathan H."
263,25955857900,"GARDNER, R. W."
264,7102066713,"SCHOEN, R. A."
265,7003529589,"Katkin, Edward S."
266,6603001678,"Rosenkrantz, Paul S."
267,6701654619,"Crockett, Walter H."
268,7005426551,"Monroe, Lawrence J."
269,7005826618,"Rechtschaffen, Allan"
270,55456735500,"Jensen, Judith"
271,16520525300,"Kissel, Stanley"
272,25956144600,"Gilson, Charlotte"
273,6701925300,"Abelson, Robert P."
274,7005769645,"Berkowitz, Leonard"
275,7101705262,"Perkins, Charles W."
276,7102990608,"Shannon, Donald T."
277,25957416700,"Wishnov, Barbara"
278,6508234037,"Gerall, Helene D."
279,25955884500,"Glixman, Alfred F."
280,7102479814,"FRY, CHARLES L."
281,25955377600,"Amidjaja, Imat R."
282,6508174349,"Vinacke, W. Edgar"
283,16471620900,"Anderson, Lynn R."
284,7202965353,"EPSTEIN, RALPH"
285,6701627772,"Komorita, S. S."
286,25957241700,"Selltiz, Claire"
287,6506604405,"Edrich, Harold"
288,25954978100,"Wilson, Warner"
289,25955447800,"Chun, Natalie"
290,6504694877,"KAYATANI, MYRA"
291,24611391100,"Morrissette, Julian O."
292,25957114200,"Switzer, S. A."
293,6602814127,"Crannell, Clarke W."
294,57196510630,"Waterman, Alan S."
295,7202658804,"Ford, Leroy H."
296,57210303376,"Stollak, Gary E."
297,25953740200,"Brody, Grace F."
298,25951857500,"Berger, Seymour M."
299,7003607138,"Rychlak, Joseph F."
300,24604750500,"Vannoy, Joseph S."
301,16530478600,"Feldman, Solomon E."
302,7403235530,"Rice, Joy K."
303,25953287900,"Silverman, Lloyd H."
304,7004580707,"Luborsky, Lester"
305,35606362600,"Weiner, Irving B."
306,7006437338,"Ader, Robert"
307,16514795900,"Raush, Harold L."
308,6507814270,"Ringuette, Eugene L."
309,6603171357,"de Soto, Clinton B."
310,7005780421,"LONDON, MARVIN"
311,7005182686,"Handel, Stephen"
312,7103219680,"Rotter, Julian B."
313,6506140262,"Mulry, Ray C."
314,7003361000,"Insko, Chester A."
315,25955102900,"Berkowitz, Hershel"
316,7006080771,"Dorfman, Donald D."
317,6603484384,"Grossberg, John M."
318,6701399133,"Kroeker, Larry"
319,7006727274,"Di Lollo, Vincent"
320,25954659800,"ROSENBERG, B. G."
